"replicate","seed","run_completed","converged","obj_fun","max_grad","grad_reference","included"
1,20260529,TRUE,TRUE,101172.07906874,8.21705975753363e-05,1e-04,TRUE
2,20260539,TRUE,TRUE,100982.288259084,9.41444888762378e-05,1e-04,TRUE
3,20260549,TRUE,TRUE,101399.287877904,8.15156565841945e-05,1e-04,TRUE
4,20260559,TRUE,TRUE,101274.327785302,7.87587734975797e-05,1e-04,TRUE
5,20260569,TRUE,TRUE,101390.196776464,8.84585750420884e-05,1e-04,TRUE
6,20260579,TRUE,TRUE,101539.971207995,8.20656826309965e-05,1e-04,TRUE
7,20260589,TRUE,TRUE,100988.011828189,9.61804968875036e-05,1e-04,TRUE
8,20260599,TRUE,TRUE,101194.723549594,9.54295932704668e-05,1e-04,TRUE
9,20260609,TRUE,TRUE,101550.437799112,9.40709756061603e-05,1e-04,TRUE
10,20260619,TRUE,TRUE,101306.866004814,9.05556825727467e-05,1e-04,TRUE
11,20260629,TRUE,TRUE,100985.774595071,8.64637371950257e-05,1e-04,TRUE
12,20260639,TRUE,TRUE,101661.432364251,8.88542008359525e-05,1e-04,TRUE
13,20260649,TRUE,TRUE,101419.489075109,7.62690349219596e-05,1e-04,TRUE
14,20260659,TRUE,TRUE,101486.682532535,8.99043635414162e-05,1e-04,TRUE
15,20260669,TRUE,TRUE,101506.423280432,9.735078306003e-05,1e-04,TRUE
16,20260679,TRUE,TRUE,101642.469500684,9.88102106643023e-05,1e-04,TRUE
17,20260689,TRUE,TRUE,101213.985792948,8.1290578404064e-05,1e-04,TRUE
18,20260699,TRUE,TRUE,100838.336926405,8.27925952964345e-05,1e-04,TRUE
19,20260709,TRUE,TRUE,100915.427255004,9.91422760277515e-05,1e-04,TRUE
20,20260719,TRUE,TRUE,101231.781087839,9.84701860423408e-05,1e-04,TRUE
21,20260729,TRUE,TRUE,101081.980816496,8.8122202184484e-05,1e-04,TRUE
22,20260739,TRUE,TRUE,101178.395183574,5.70376700961829e-05,1e-04,TRUE
23,20260749,TRUE,TRUE,101549.567723342,9.91030532193935e-05,1e-04,TRUE
24,20260759,TRUE,TRUE,101183.917944568,9.8879475584489e-05,1e-04,TRUE
25,20260769,TRUE,TRUE,101395.82201431,8.87683275363784e-05,1e-04,TRUE
26,20260779,TRUE,TRUE,101482.298371652,9.30578107369687e-05,1e-04,TRUE
27,20260789,TRUE,TRUE,101503.860374246,8.54244235266964e-05,1e-04,TRUE
28,20260799,TRUE,TRUE,101423.7436301,6.31665509861034e-05,1e-04,TRUE
29,20260809,TRUE,TRUE,101523.411614172,8.33051412890134e-05,1e-04,TRUE
30,20260819,TRUE,TRUE,101300.158643695,5.13050740067954e-05,1e-04,TRUE
31,20260829,TRUE,TRUE,101376.634197267,6.55583071587284e-05,1e-04,TRUE
32,20260839,TRUE,TRUE,101288.864225909,8.76310666541874e-05,1e-04,TRUE
33,20260849,TRUE,TRUE,101599.156147398,7.90670476458435e-05,1e-04,TRUE
34,20260859,TRUE,TRUE,101301.220519475,9.27534799849713e-05,1e-04,TRUE
35,20260869,TRUE,TRUE,100747.757796255,8.15832865479897e-05,1e-04,TRUE
36,20260879,TRUE,TRUE,101577.503057783,9.9730140233259e-05,1e-04,TRUE
37,20260889,TRUE,TRUE,101393.445860495,9.92411550956388e-05,1e-04,TRUE
38,20260899,TRUE,TRUE,101022.641902776,8.49574346172077e-05,1e-04,TRUE
39,20260909,TRUE,TRUE,101489.686240503,9.22944780555543e-05,1e-04,TRUE
40,20260919,TRUE,TRUE,101134.71069134,8.14074216637481e-05,1e-04,TRUE
41,20260929,TRUE,TRUE,101281.309779735,5.19253740297072e-05,1e-04,TRUE
42,20260939,TRUE,TRUE,101419.894473904,5.97914587972542e-05,1e-04,TRUE
43,20260949,TRUE,TRUE,101425.828625,8.93379071196772e-05,1e-04,TRUE
44,20260959,TRUE,TRUE,101611.787572944,9.13084925220641e-05,1e-04,TRUE
45,20260969,TRUE,TRUE,101111.920050967,7.21750024882936e-05,1e-04,TRUE
46,20260979,TRUE,TRUE,101673.124606872,9.52708426543988e-05,1e-04,TRUE
47,20260989,TRUE,TRUE,101134.850532629,8.92507143621938e-05,1e-04,TRUE
48,20260999,TRUE,TRUE,101309.570520246,6.53296949375846e-05,1e-04,TRUE
49,20261009,TRUE,TRUE,101257.499417475,8.66314961183848e-05,1e-04,TRUE
50,20261019,TRUE,TRUE,101560.565424811,9.84319721791844e-05,1e-04,TRUE
